id,key,value,type
5039267,lanes,through|through,turn
5050016,cycleway,lane,regular
5050016,highway,secondary,regular
5050016,lanes,2,regular
5050016,maxspeed,35 mph,regular
5050016,name,East Middlefield Road,regular
5050016,oneway,yes,regular
5050016,surface,paved,regular
5050023,bicycle,no,regular
5050023,destination,San Jose,regular
5050023,ref,US 101 South,destination
5050023,highway,motorway_link,regular
5050023,oneway,yes,regular
5066724,bicycle,no,regular
5066724,bridge,yes,regular
5066724,hgv,designated,regular
5066724,national_network,yes,hgv
5066724,highway,motorway,regular
5066724,hov,lane,regular
5066724,lanes,3,regular
5066724,layer,1,regular
5066724,maxspeed,65 mph,regular
5066724,trailer,55 mph,maxspeed
5066724,lanes,left lane is hov,note
5066724,oneway,yes,regular
5066724,ref,CA 85,regular
5066724,hgv:national_network,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,source
5066724,maxspeed,sign,source
8072701,access,permissive,regular
8072701,highway,service,regular
8072701,oneway,yes,regular
8072704,access,permissive,regular
8072704,highway,service,regular
8141139,aeroway,runway,regular
8141139,length,8122 ft,regular
8141139,ref,14R/32L,regular
8141139,width,61,regular
8170144,access,permissive,regular
8170144,highway,service,regular
8379917,cycleway,lane,regular
8379917,highway,primary,regular
8379917,lanes,3,regular
8379917,lit,yes,regular
8379917,maxspeed,35 mph,regular
8379917,name,South Shoreline Boulevard,regular
8379917,oneway,yes,regular
8379917,sidewalk,right,regular
8379917,maxspeed,sign,source
8379917,surface,asphalt,regular
8379919,hgv,designated,regular
8379919,national_network,terminal_access,hgv
8379919,highway,primary,regular
8379919,lanes,4,regular
8379919,maxspeed,40 mph,regular
8379919,name,East El Camino Real,regular
8379919,old_ref,US 101,regular
8379919,oneway,yes,regular
8379919,ref,CA 82,regular
8379919,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
8379919,maxspeed,sign,source
8379919,surface,asphalt,regular
8379919,lanes,|||right,turn
8493691,access,hov,regular
8493691,bicycle,no,regular
8493691,highway,motorway_link,regular
8493691,hov,designated,regular
8493691,conditional,"designated @ (Mo-Fr 05:00-09:00, 15:00-19:00)",hov
8493691,lanes,1,regular
8493691,oneway,yes,regular
8923260,highway,residential,regular
8923260,name,Springer Terrace,regular
8923260,cfcc,A41,tiger
8923260,county,"Santa Clara, CA",tiger
8923260,name_base,Springer,tiger
8923260,name_type,Ter,tiger
8923902,bicycle,no,regular
8923902,destination,Shoreline Amphitheatre At Mountain View,regular
8923902,street,Rengstorff Avenue;Amphitheater Parkway,destination
8923902,highway,motorway_link,regular
8923902,oneway,yes,regular
8923902,cfcc,A63,tiger
8923902,county,"Santa Clara, CA",tiger
8923992,bicycle,no,regular
8923992,ref,CA 85 South,destination
8923992,highway,motorway_link,regular
8923992,lanes,1,regular
8923992,oneway,yes,regular
8924006,bicycle,no,regular
8924006,destination,Dana Street,regular
8924006,highway,motorway_link,regular
8924006,lanes,1,regular
8924006,oneway,yes,regular
8924006,cfcc,A63,tiger
8924006,county,"Santa Clara, CA",tiger
8924006,lanes,through,turn
8924197,bicycle,no,regular
8924197,destination,San Francisco,regular
8924197,ref,CA 85 North;US 101 North,destination
8924197,highway,motorway_link,regular
8924197,ref,1A,junction
8924197,oneway,yes,regular
8924197,cfcc,A63,tiger
8924197,county,"Santa Clara, CA",tiger
8924197,reviewed,no,tiger
8924268,bicycle,no,regular
8924268,destination,Cupertino;Santa Cruz,regular
8924268,ref,CA 85 South,destination
8924268,hgv,designated,regular
8924268,national_network,yes,hgv
8924268,highway,motorway_link,regular
8924268,ref,398,junction
8924268,lanes,2,regular
8924268,maxspeed,65 mph,regular
8924268,hgv,55 mph,maxspeed
8924268,trailer,55 mph,maxspeed
8924268,oneway,yes,regular
8924268,ref,CA 85,regular
8924268,hgv:national_network,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,source
8924268,cfcc,A63,tiger
8924268,county,"Santa Clara, CA",tiger
8924352,highway,service,regular
8924352,cfcc,A41,tiger
8924352,county,"Santa Clara, CA",tiger
8924352,reviewed,no,tiger
8924679,access,private,regular
8924679,highway,service,regular
8924679,county,"Santa Clara, CA",tiger
8924695,bicycle,no,regular
8924695,destination,Shoreline Boulevard; Mountain View,regular
8924695,highway,motorway_link,regular
8924695,ref,399,junction
8924695,lanes,1,regular
8924695,advisory,25 mph,maxspeed
8924695,oneway,yes,regular
8924695,cfcc,A63,tiger
8924695,county,"Santa Clara, CA",tiger
8924850,power,line,regular
8924850,voltage,115000,regular
8924852,history,Retrieved from v7,regular
8924852,name,Ravenswood - Ames 115kV transmission line,regular
8924852,power,line,regular
8924852,voltage,115000,regular
8924873,highway,service,regular
8924873,service,parking_aisle,regular
8924873,county,"Santa Clara, CA",tiger
8924873,reviewed,no,tiger
8924873,separated,no,tiger
8924873,source,tiger_import_dch_v0.6_20070809,tiger
8924873,tlid,122972438:122953358,tiger
8924873,upload_uuid,bulk_upload.pl-9f300d22-5de3-4867-bd5e-8c2a200c22ad,tiger
8924884,bicycle,no,regular
8924884,highway,motorway_link,regular
8924884,lanes,1,regular
8924884,oneway,yes,regular
8924884,cfcc,A63,tiger
8924884,county,"Santa Clara, CA",tiger
8924884,lanes,through,turn
8925133,street,Central Expressway West,destination
8925133,highway,trunk_link,regular
8925133,oneway,yes,regular
8925133,sidewalk,no,regular
8925144,bicycle,no,regular
8925144,highway,motorway_link,regular
8925144,lanes,2,regular
8925144,oneway,yes,regular
8925144,lanes,none|right,turn
8925190,access,private,regular
8925190,highway,service,regular
8925190,county,"Santa Clara, CA",tiger
8925193,access,private,regular
8925193,highway,service,regular
8925193,county,"Santa Clara, CA",tiger
8925195,access,private,regular
8925195,highway,service,regular
8925195,county,"Santa Clara, CA",tiger
8925212,bicycle,no,regular
8925212,destination,Cupertino,regular
8925212,ref,CA 85 South;CA 237 South,destination
8925212,highway,motorway_link,regular
8925212,oneway,yes,regular
8925212,county,"Santa Clara, CA",tiger
8925400,bicycle,no,regular
8925400,destination,Moffett Boulevard,regular
8925400,highway,motorway_link,regular
8925400,lanes,1,regular
8925400,oneway,yes,regular
8925400,county,"Santa Clara, CA",tiger
8925529,bicycle,no,regular
8925529,destination,San Francisco,regular
8925529,ref,CA 85 North,destination
8925529,highway,motorway_link,regular
8925529,lanes,1,regular
8925529,oneway,yes,regular
8925529,county,"Santa Clara, CA",tiger
8925529,lanes,through,turn
8925871,bicycle,no,regular
8925871,street,San Antonio Road South,destination
8925871,highway,motorway_link,regular
8925871,lanes,1,regular
8925871,oneway,yes,regular
8925871,cfcc,A63,tiger
8925871,county,"Santa Clara, CA",tiger
8925871,lanes,through,turn
8925985,access,private,regular
8925985,highway,service,regular
8925985,cfcc,A74,tiger
8925985,county,"Santa Clara, CA",tiger
8925986,access,private,regular
8925986,highway,service,regular
8925986,cfcc,A74,tiger
8925986,county,"Santa Clara, CA",tiger
8925988,access,private,regular
8925988,highway,service,regular
8925988,cfcc,A74,tiger
8925988,county,"Santa Clara, CA",tiger
8926155,highway,service,regular
8926182,highway,residential,regular
8926182,maxspeed,25 mph,regular
8926182,name,Easy Street,regular
8926182,oneway,yes,regular
8926182,maxspeed,sign,source
8926182,surface,asphalt,regular
8926182,county,"Santa Clara, CA",tiger
8926394,bicycle,no,regular
8926394,destination,San Francisco,regular
8926394,ref,US 101 North,destination
8926394,highway,motorway_link,regular
8926394,lanes,2,regular
8926394,oneway,yes,regular
8926394,cfcc,A63,tiger
8926394,county,"Santa Clara, CA",tiger
8926394,reviewed,no,tiger
8926394,lanes,through|through,turn
8926818,highway,service,regular
8926818,cfcc,A41,tiger
8926818,county,"Santa Clara, CA",tiger
8926969,highway,secondary_link,regular
8926969,county,"Santa Clara, CA",tiger
8927161,access,private,regular
8927161,highway,service,regular
8927161,cfcc,A74,tiger
8927161,county,"Santa Clara, CA",tiger
8927566,bicycle,no,regular
8927566,highway,motorway_link,regular
8927566,lanes,1,regular
8927566,oneway,yes,regular
8927566,cfcc,A63,tiger
8927566,county,"Santa Clara, CA",tiger
8927572,highway,residential,regular
8927572,lanes,2,regular
8927572,name,Rock Street,regular
8927572,surface,asphalt,regular
