Candidate,State,Office Type,Date,Partisan Lean,Primary %,Won,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,Endorsements,value,Progressive
Gina Ortiz Jones,TX,Representative,3/6/18,-0.63,41.560001,Yes,Nonwhite,Yes,Yes,No,No,Party Support?,Yes,No
Gina Ortiz Jones,TX,Representative,3/6/18,-0.63,41.560001,Yes,Nonwhite,Yes,Yes,No,No,Guns Sense Candidate?,Yes,No
Gina Ortiz Jones,TX,Representative,3/6/18,-0.63,41.560001,Yes,Nonwhite,Yes,Yes,No,No,No,No,No
Goutam Jois,NJ,Representative,6/5/18,-3.26,14.1,No,Nonwhite,No,No,No,No,No,No,No
Grady Yarbrough,TX,Governor,3/6/18,-13.23,5.369999900000001,No,Nonwhite,No,No,No,No,No,No,No
Grant Goodrich,OH,Representative,5/8/18,-17.030001000000002,28.059998999999998,No,,Yes,No,No,No,Guns Sense Candidate?,Yes,No
Grant Goodrich,OH,Representative,5/8/18,-17.030001000000002,28.059998999999998,No,,Yes,No,No,No,No,No,No
Grant Kier,MT,Representative,6/5/18,-21.41,24.15,No,,No,No,No,No,No,No,No
Grant Short,KY,Representative,5/22/18,-39.509997999999996,19.59,No,White,No,No,No,No,No,No,No
Grant Short,KY,Representative,5/22/18,-39.509997999999996,19.59,No,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Grayson Parker,NC,Representative,5/8/18,-18.98,33.0,No,White,No,No,No,No,No,No,No
Greg Edwards,PA,Representative,5/15/18,0.07,25.43,No,Nonwhite,No,No,No,No,Sanders Endorsed?,Yes,No
Greg Edwards,PA,Representative,5/15/18,0.07,25.43,No,Nonwhite,No,No,No,No,WFP Endorsed?,Yes,No
Greg Edwards,PA,Representative,5/15/18,0.07,25.43,No,Nonwhite,No,No,No,No,No,No,No
Greg Edwards,PA,Representative,5/15/18,0.07,25.43,No,Nonwhite,No,No,No,No,PCCC Endorsed?,Yes,Yes
Greg Edwards,PA,Representative,5/15/18,0.07,25.43,No,Nonwhite,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Greg Sagan,TX,Representative,3/6/18,-65.209999,100.0,Yes,White,Yes,No,No,No,No,No,No
Gregory Vitali,PA,Representative,5/15/18,25.540001,9.430000300000001,No,White,No,No,Yes,No,No,No,No
Gretchen Driskell,MI,Representative,8/7/18,-16.059998999999998,85.199997,Yes,White,No,No,Yes,No,Emily Endorsed?,Yes,No
Gretchen Driskell,MI,Representative,8/7/18,-16.059998999999998,85.199997,Yes,White,No,No,Yes,No,Party Support?,Yes,No
Gretchen Driskell,MI,Representative,8/7/18,-16.059998999999998,85.199997,Yes,White,No,No,Yes,No,No,No,No
Gretchen Whitmer,MI,Governor,8/7/18,-0.33000001,51.799999,Yes,White,No,No,Yes,No,Guns Sense Candidate?,Yes,No
Gretchen Whitmer,MI,Governor,8/7/18,-0.33000001,51.799999,Yes,White,No,No,Yes,No,Emily Endorsed?,Yes,No
Gretchen Whitmer,MI,Governor,8/7/18,-0.33000001,51.799999,Yes,White,No,No,Yes,No,No,No,No
Guy Pinjuv,NV,Representative,6/12/18,-3.0799999,3.5,No,,No,No,No,No,No,No,No
Gwen Combs,AR,Representative,5/22/18,-13.51,20.299999,No,White,Yes,No,No,No,No,No,No
Gwen Combs,AR,Representative,5/22/18,-13.51,20.299999,No,White,Yes,No,No,No,Guns Sense Candidate?,Yes,No
Gwendolyn Fields,OK,Representative,6/26/18,-31.959999,19.620001000000002,No,,No,No,No,No,No,No,No
H. P. Parvizian,TX,Representative,3/6/18,-16.33,7.9099998,No,Nonwhite,No,No,No,No,No,No,No
Haley Stevens,MI,Representative,8/7/18,-7.179999799999999,27.0,Yes,White,No,No,No,No,No,No,No
Hallie Thompson,MO,Representative,8/7/18,-35.73,48.099998,No,White,No,No,No,No,Guns Sense Candidate?,Yes,No
Hallie Thompson,MO,Representative,8/7/18,-35.73,48.099998,No,White,No,No,No,No,No,No,No
Hank Linderman,KY,Representative,5/22/18,-39.509997999999996,30.02,Yes,White,No,No,No,No,No,No,No
Hans Keirstead,CA,Representative,6/5/18,-4.1799998,37.439999,No,White,No,No,No,Yes,Guns Sense Candidate?,Yes,No
Hans Keirstead,CA,Representative,6/5/18,-4.1799998,37.439999,No,White,No,No,No,Yes,No,No,No
Harley Rouda,CA,Representative,6/5/18,-4.1799998,37.599998,Yes,White,No,No,No,Yes,Party Support?,Yes,No
Harley Rouda,CA,Representative,6/5/18,-4.1799998,37.599998,Yes,White,No,No,No,Yes,Indivisible Endorsed?,Yes,No
Harley Rouda,CA,Representative,6/5/18,-4.1799998,37.599998,Yes,White,No,No,No,Yes,No,No,No
Harley Rouda,CA,Representative,6/5/18,-4.1799998,37.599998,Yes,White,No,No,No,Yes,Guns Sense Candidate?,Yes,No
Hayden Shamel,AR,Representative,5/22/18,-33.68,100.0,Yes,White,No,No,No,No,No,No,No
Hector Morales,TX,Representative,3/6/18,39.970001,3.04,No,Nonwhite,No,No,No,No,No,No,No
Hector Morales,TX,Representative,3/6/18,39.970001,3.04,No,Nonwhite,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Hector Morales,TX,Representative,3/6/18,39.970001,3.04,No,Nonwhite,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Henry Martin,MO,Representative,8/7/18,-31.610001,41.5,Yes,Nonwhite,Yes,No,No,No,No,No,No
Henry Thorns,NV,Governor,6/12/18,0.94999999,1.9,No,Nonwhite,No,No,No,No,No,No,No
Herbert Lee,CA,Representative,6/5/18,2.99,9.4200001,No,Nonwhite,No,No,No,Yes,No,No,No
Hiral Tipirneni,AZ,Representative,2/27/18,-24.559998999999998,60.220001,Yes,Nonwhite,No,No,No,No,No,No,No
Hosea Cleveland,SC,Representative,6/12/18,-38.68,30.27,No,Nonwhite,Yes,No,No,No,No,No,No
Howard Sherman,MS,Senator,6/5/18,-18.780001000000002,31.790001,No,White,No,No,No,No,No,No,No
Ian Conyers,MI,Representative,8/7/18,60.720001,11.2,No,Nonwhite,No,No,Yes,No,No,No,No
Ian Conyers,MI,Representative,8/7/18,60.720001,6.3000002,No,Nonwhite,No,No,Yes,No,No,No,No
Ian Golden,NY,Representative,6/26/18,-13.93,13.44,No,,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
Ian Golden,NY,Representative,6/26/18,-13.93,13.44,No,,No,No,No,No,No,No,No
Ian Golden,NY,Representative,6/26/18,-13.93,13.44,No,,No,No,No,No,Justice Dems Endorsed?,Yes,Yes
Ivan Sanchez,TX,Representative,3/6/18,-6.809999900000001,5.6900001,No,Nonwhite,No,No,No,No,No,No,No
J.B. Pritzker,IL,Governor,3/20/18,14.48,45.099998,Yes,White,No,No,No,Yes,No,No,No
J.D. Scholten,IA,Representative,6/5/18,-25.110001,51.259997999999996,Yes,White,No,No,No,No,No,No,No
J.D. Scholten,IA,Representative,6/5/18,-25.110001,51.259997999999996,Yes,White,No,No,No,No,WFP Endorsed?,Yes,No
J.D. Scholten,IA,Representative,6/5/18,-25.110001,51.259997999999996,Yes,White,No,No,No,No,Our Revolution Endorsed?,Yes,Yes
J.T. Davis,SC,Representative,6/12/18,-28.309998999999998,7.219999799999999,No,White,No,No,No,No,No,No,No
Jack Bergeson,KS,Governor,8/7/18,-23.41,2.5999999,No,White,No,No,No,No,No,No,No
Jack Love,NV,Representative,6/12/18,-3.0799999,5.8000002,No,,No,No,No,No,No,No,No
Jack Schofield Jr.,NV,Representative,6/12/18,-13.78,7.5,No,,No,No,No,No,No,No,No
Jackie Patton,OH,Representative,5/8/18,-13.63,14.02,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
Jackie Patton,OH,Representative,5/8/18,-13.63,14.02,No,,No,No,No,No,No,No,No
Jackie Patton,OH,Representative,5/8/18,-13.63,13.58,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
Jackie Patton,OH,Representative,5/8/18,-13.63,13.58,No,,No,No,No,No,No,No,No
Jacky Rosen,NV,Senator,6/12/18,0.94999999,77.110001,Yes,,No,No,Yes,No,Party Support?,Yes,No
Jacky Rosen,NV,Senator,6/12/18,0.94999999,77.110001,Yes,,No,No,Yes,No,No,No,No
Jacky Rosen,NV,Senator,6/12/18,0.94999999,77.110001,Yes,,No,No,Yes,No,Emily Endorsed?,Yes,No
Jacky Rosen,NV,Senator,6/12/18,0.94999999,77.110001,Yes,,No,No,Yes,No,Biden Endorsed?,Yes,No
James C. Fields,AL,Governor,6/5/18,-28.879998999999998,8.0,No,Nonwhite,Yes,No,Yes,No,No,No,No
James Cargas,TX,Representative,3/6/18,-6.809999900000001,1.96,No,White,No,No,No,No,No,No,No
James Clark,TX,Governor,3/6/18,-13.23,2.1500001,No,White,No,No,No,No,No,No,No
James Jones,MD,Governor,6/26/18,23.799999,1.5,No,Nonwhite,No,No,No,No,No,No,No
James Neu Jr.,OH,Representative,5/8/18,-23.809998999999998,26.700001,No,,No,No,No,No,Guns Sense Candidate?,Yes,No
James Neu Jr.,OH,Representative,5/8/18,-23.809998999999998,26.700001,No,,No,No,No,No,No,No,No
James Singer,UT,Representative,6/26/18,-35.16,100.0,Yes,Nonwhite,No,No,No,No,No,No,No
